electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
1.19486,2.38972,1.79229,1.19486
1.19486,2.38972,1.79229,1.19486
1.19486,2.38972,1.79229,1.19486
1.19486,2.38972,1.79229,1.19486
1.19486,1.19486,1.79229,1.19486
1.19486,1.19486,1.79229,1.19486
2.38972,1.79229,1.79229,2.38972
2.38972,1.79229,2.38972,2.38972
2.38972,1.79229,2.38972,2.38972
2.38972,1.79229,2.38972,2.38972
1.19486,1.79229,2.38972,1.19486
1.19486,1.79229,1.19486,1.19486
1.79229,1.79229,1.19486,1.79229
1.79229,2.38972,1.19486,1.79229
1.79229,2.38972,1.19486,1.79229
1.79229,2.38972,1.19486,1.79229
1.79229,2.38972,1.19486,1.79229
1.79229,2.38972,2.38972,1.79229
1.79229,1.19486,2.38972,1.79229
2.38972,1.19486,2.38972,2.38972
2.38972,1.19486,2.38972,2.38972
2.38972,1.19486,2.38972,2.38972
2.38972,1.19486,1.19486,2.38972
2.38972,1.19486,1.19486,2.38972
